type,title,description,topic,score,negativeScore,optionA,optionB,optionC,optionD,correctOption,sampleInput,sampleOutput,constraints
MCQ,"What is React?","Select the correct definition of React","Frontend Frameworks",10,-2,"A JavaScript library for building user interfaces","A CSS framework","A database management system","A backend framework","A","","",""
MCQ,"Which HTTP method is used to update a resource?","Identify the correct HTTP method for updating","REST API",10,-2,"GET","POST","PUT","DELETE","C","","",""
MCQ,"What does CSS stand for?","Choose the correct full form","Frontend Basics",5,-1,"Cascading Style Sheets","Computer Style Sheets","Creative Style System","Colorful Style Sheets","A","","",""
MCQ,"Which database is NoSQL?","Identify the NoSQL database from the options","Databases",10,-2,"MySQL","PostgreSQL","MongoDB","Oracle","C","","",""
MCQ,"What is the purpose of package.json in Node.js?","Select the correct purpose","Node.js",10,-2,"To store CSS files","To manage project dependencies and metadata","To compile JavaScript","To create databases","B","","",""
MCQ,"Which method is used to add an element at the end of an array in JavaScript?","Choose the correct array method","JavaScript",8,-2,"push()","pop()","shift()","unshift()","A","","",""
MCQ,"What is Git?","Select the correct definition of Git","Version Control",10,-2,"A distributed version control system","A programming language","A database","A web framework","A","","",""
MCQ,"Which HTML tag is used to define an internal style sheet?","Identify the correct HTML tag","HTML/CSS",5,-1,"<css>","<script>","<style>","<link>","C","","",""
MCQ,"What is REST?","Choose the correct definition of REST","API Design",10,-2,"A database query language","Representational State Transfer - an architectural style for APIs","A JavaScript framework","A CSS preprocessor","B","","",""
MCQ,"Which React hook is used for side effects?","Identify the correct React hook","React Hooks",10,-2,"useState","useEffect","useContext","useReducer","B","","",""
MCQ,"What is the default port for HTTP?","Select the correct port number","Web Fundamentals",5,-1,"443","8080","80","3000","C","","",""
MCQ,"Which command is used to install dependencies in npm?","Choose the correct npm command","Node.js Package Management",8,-2,"npm start","npm install","npm run","npm init","B","","",""
MCQ,"What does ORM stand for?","Choose the correct full form","Backend Concepts",10,-2,"Object Relational Mapping","Online Resource Manager","Operational Record Model","Organized Repository Method","A","","",""
MCQ,"Which CSS property is used to change text color?","Identify the correct CSS property","CSS",5,-1,"font-color","text-color","color","text-style","C","","",""
MCQ,"What is Express.js?","Select the correct definition","Node.js Frameworks",10,-2,"A frontend framework","A minimal and flexible Node.js web application framework","A database","A testing library","B","","",""
MCQ,"Which JavaScript method converts JSON string to object?","Choose the correct method","JavaScript",10,-2,"JSON.stringify()","JSON.parse()","JSON.convert()","JSON.toObject()","B","","",""
MCQ,"What is the purpose of DOCTYPE in HTML?","Select the correct purpose","HTML",8,-2,"To define the document type and version","To import CSS","To add comments","To create links","A","","",""
MCQ,"Which HTTP status code indicates success?","Identify the success status code","HTTP",8,-2,"404","500","200","301","C","","",""
MCQ,"What is Redux?","Choose the correct definition of Redux","State Management",10,-2,"A CSS framework","A predictable state container for JavaScript apps","A database","A routing library","B","","",""
MCQ,"Which SQL command is used to retrieve data?","Identify the correct SQL command","SQL",10,-2,"INSERT","UPDATE","SELECT","DELETE","C","","",""
MCQ,"What is TypeScript?","Select the correct definition","Programming Languages",10,-2,"A superset of JavaScript that adds static typing","A CSS preprocessor","A database query language","A testing framework","A","","",""
MCQ,"Which attribute makes an input field required in HTML?","Choose the correct attribute","HTML Forms",8,-2,"mandatory","require","required","must","C","","",""
MCQ,"What is JWT?","Select the correct full form","Authentication",10,-2,"Java Web Token","JSON Web Token","JavaScript Web Tool","Just Web Technology","B","","",""
MCQ,"Which CSS framework is component-based?","Identify the component-based framework","CSS Frameworks",10,-2,"Bootstrap","Tailwind CSS","Material-UI","Foundation","C","","",""
MCQ,"What is the purpose of async/await in JavaScript?","Choose the correct purpose","JavaScript Async",10,-2,"To make code run slower","To handle asynchronous operations more elegantly","To create loops","To define variables","B","","",""
MCQ,"Which database uses SQL?","Identify the SQL database","Databases",8,-2,"MongoDB","Redis","PostgreSQL","Cassandra","C","","",""
MCQ,"What is Webpack?","Select the correct definition","Build Tools",10,-2,"A CSS framework","A module bundler for JavaScript applications","A database","A testing library","B","","",""
MCQ,"Which HTTP method is idempotent?","Choose the idempotent HTTP method","REST API",10,-2,"POST","GET","PATCH","All of the above","B","","",""
MCQ,"What is CORS?","Select the correct full form","Web Security",10,-2,"Cross-Origin Resource Sharing","Central Online Resource System","Cached Object Reference Store","Common Origin Routing Service","A","","",""
MCQ,"Which React method is called after component renders?","Identify the lifecycle method","React Lifecycle",10,-2,"componentWillMount","componentDidMount","componentWillUpdate","render","B","","",""
MCQ,"What is npm?","Choose the correct definition","Package Management",8,-2,"Node Package Manager","New Programming Method","Network Protocol Manager","Node Process Monitor","A","","",""
MCQ,"Which tag is used to create a hyperlink in HTML?","Identify the correct HTML tag","HTML",5,-1,"<link>","<a>","<href>","<url>","B","","",""
MCQ,"What is GraphQL?","Select the correct definition","API Technologies",10,-2,"A database","A query language for APIs","A CSS framework","A testing tool","B","","",""
MCQ,"Which JavaScript feature allows function parameters to have default values?","Choose the correct feature","ES6 Features",8,-2,"Arrow functions","Default parameters","Template literals","Destructuring","B","","",""
MCQ,"What is the purpose of index.html in a React app?","Select the correct purpose","React Fundamentals",8,-2,"To store CSS","The entry point HTML file where React app mounts","To configure webpack","To store API keys","B","","",""
MCQ,"Which command initializes a Git repository?","Choose the correct Git command","Git Commands",8,-2,"git start","git begin","git init","git create","C","","",""
MCQ,"What is middleware in Express.js?","Select the correct definition","Express.js",10,-2,"A database layer","Functions that have access to request and response objects","A frontend component","A CSS preprocessor","B","","",""
MCQ,"Which CSS display property hides an element but preserves space?","Identify the correct property value","CSS",8,-2,"display: none","visibility: hidden","opacity: 0","display: hidden","B","","",""
MCQ,"What is the purpose of useContext hook?","Choose the correct purpose","React Hooks",10,-2,"To manage local state","To consume context values","To handle side effects","To memoize values","B","","",""
MCQ,"Which HTTP header is used for authentication?","Identify the correct header","HTTP Headers",10,-2,"Content-Type","Accept","Authorization","Cache-Control","C","","",""
MCQ,"What is Docker?","Select the correct definition","DevOps",10,-2,"A programming language","A platform for containerizing applications","A database","A CSS framework","B","","",""
MCQ,"Which method prevents default form submission?","Choose the correct JavaScript method","DOM Manipulation",8,-2,"stopPropagation()","preventDefault()","stopDefault()","preventSubmit()","B","","",""
MCQ,"What is SASS?","Select the correct definition","CSS Preprocessors",10,-2,"A JavaScript framework","Syntactically Awesome Style Sheets - a CSS preprocessor","A database","A testing library","B","","",""
MCQ,"Which React Router component defines a route?","Identify the correct component","React Router",10,-2,"<Link>","<Route>","<Switch>","<Router>","B","","",""
MCQ,"What is the purpose of .gitignore file?","Choose the correct purpose","Git",8,-2,"To ignore Git commands","To specify files Git should not track","To configure Git settings","To store Git credentials","B","","",""
MCQ,"Which SQL clause is used to filter results?","Identify the correct SQL clause","SQL",10,-2,"FILTER","WHERE","HAVING","SELECT","B","","",""
MCQ,"What is MVC architecture?","Select the correct full form","Software Architecture",10,-2,"Model View Controller","Multiple Virtual Connections","Managed Version Control","Modern Visual Components","A","","",""
MCQ,"Which JavaScript operator is used for strict equality?","Choose the correct operator","JavaScript Operators",8,-2,"==","===","=","!=","B","","",""
MCQ,"What is API?","Select the correct full form","Software Concepts",5,-1,"Application Programming Interface","Automated Program Integration","Advanced Protocol Implementation","Application Process Indicator","A","","",""
MCQ,"Which CSS property controls the stacking order of elements?","Identify the correct property","CSS Layout",8,-2,"layer","stack","z-index","position","C","","",""
